id,zip_code,price,bds,ba,sqft,sold_year,sold_month,sold_day,type,year_built,heating,cooling,parking,pets,laundry,flooring,appliances,view_city,view_mountain,view_park,view_water,most_recent_listing_date,most_recent_listing_price,sold_time,listing_sold_time_diff,price_percent_change
"['300', 'W', '110th', 'St', 'APT', '11H']",NY 10026,580000,1,1,589,2020,4,23,Condo,1988,Gas,,Covered,,,,,0,0,1,0,1/13/2020 0:00,550000,4/23/2020,101,0.054545455
"['15', 'W', '53rd', 'St', '18F']",NY 10019,1550000,1,2,1204,2020,4,21,Condo,1982,,,Covered,,,,"Appliances included: Dryer, Washer",0,0,1,0,6/17/2019 0:00,1800000,4/21/2020,309,-0.138888889
"['2', 'Tudor', 'City', 'Pl', 'APT', '15BN']",NY 10017,1060000,2,1,,2020,4,9,Condo,1955,,Central,Covered,,,,Appliances included: Dishwasher,0,0,1,1,9/3/2019 0:00,1300000,4/9/2020,219,-0.184615385
"['542', 'Laguardia', 'Pl', 'APT', '4B']",NY 10012,2620000,3,3,1400,2020,4,8,Condo,1928,"Baseboard, Gas",Central,On-street,,,,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",1,0,1,0,10/25/2018 0:00,3150000,4/8/2020,531,-0.168253968
"['570', 'Grand', 'St', 'APT', 'H803']",NY 10002,1320000,3,3,,2020,4,6,Single Family,1955,,,0 spaces,,,Appliances,Appliances included: Dishwasher,0,0,1,0,8/20/2019 0:00,1499000,4/6/2020,230,-0.119412942
"['100', 'Overlook', 'Ter', 'APT', '617']",NY 10040,390000,1,1,,2020,4,3,Condo,1963,,,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,9/6/2019 0:00,429000,4/3/2020,210,-0.090909091
"['25', 'Indian', 'Rd', 'APT', '1C']",NY 10034,949000,3,2,1350,2020,3,31,Condo,1953,,,Covered,,,,Appliances included: Dishwasher,0,0,1,1,12/26/2019 0:00,949000,3/31/2020,96,0
"['1831', 'Madison', 'Ave', 'APT', '9C']",NY 10035,585000,1,1,900,2020,3,31,Condo,2001,,,Covered,,,,,1,0,1,0,11/17/2019 0:00,600000,3/31/2020,135,-0.025
"['25', 'Indian', 'Rd', 'APT', '4C']",NY 10034,893807,3,2,1325,2020,3,30,Condo,1953,,,Garage - Detached,,,,Appliances included: Dishwasher,0,0,1,0,9/15/2019 0:00,925000,3/30/2020,197,-0.033722162
"['1', 'Central', 'Park', 'W', '33G']",NY 10023,4950000,2,3,1763,2020,3,27,Condo,1971,,,Covered,,,,Appliances included: Dishwasher,1,0,1,0,11/21/2018 0:00,6950000,3/27/2020,492,-0.287769784
"['60', 'Riverside', 'Blvd', 'APT', '1506']",NY 10069,1730000,2,2,1071,2020,3,27,Condo,2008,,,0 spaces,,,,"Appliances included: Dryer, Washer",1,0,1,0,7/22/2019 0:00,1850000,3/27/2020,249,-0.064864865
"['1', 'E', '66th', 'St', 'APT', '13E']",NY 10065,2000000,2,2,,2020,3,26,Condo,1949,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,6/27/2019 0:00,2595000,3/26/2020,273,-0.229287091
"['175', 'W', '12th', 'St', 'APT', '7D']",NY 10011,2350000,2,2,1375,2020,3,23,Multiple Occupancy,,Contact manager,None,"None, Covered","Small Dogs, Dogs",Contact manager,,Appliances included: Dishwasher,1,0,1,0,9/25/2019 0:00,2500000,3/23/2020,180,-0.06
"['90', 'Park', 'Ter', 'E', 'APT', '7D']",NY 10034,400000,1,1,750,2020,3,23,Condo,1949,,,Covered,,,,Appliances included: Dishwasher,0,0,1,1,10/24/2019 0:00,399000,3/23/2020,151,0.002506266
"['140', 'Cabrini', 'Blvd', 'APT', '31']",NY 10033,1420000,3,2,,2020,3,17,Condo,1939,,,0 spaces,,,,,0,0,1,0,9/14/2019 0:00,1475000,3/17/2020,185,-0.037288136
"['400', 'Central', 'Park', 'W', 'APT', '4U']",NY 10025,675000,,9,,2020,3,16,Condo,1961,,Central,0 spaces,,,,Other interior features,0,0,1,0,9/12/2019 0:00,699000,3/16/2020,186,-0.034334764
"['32', 'Washington', 'Sq', 'W', 'APT', '14E']",NY 10011,5200000,3,3,,2020,3,13,Condo,1925,,Central,Covered,,,,Other interior features,1,0,1,0,11/3/2019 0:00,6000000,3/13/2020,131,-0.133333333
"['81', 'Irving', 'Pl', 'APT', '9A']",NY 10003,495000,,0,,2020,3,13,Condo,1929,,,Covered,,,,,0,0,1,0,1/28/2019 0:00,675000,3/13/2020,410,-0.266666667
"['120', 'Riverside', 'Blvd', '4K']",NY 10069,650000,,0,,2020,3,12,Condo,2005,Gas,,"Garage - Attached, Covered",,,,Other interior features,0,0,1,1,9/25/2018 0:00,730000,3/12/2020,534,-0.109589041
"['372', 'Central', 'Park', 'W', 'APT', '10E']",NY 10025,790000,,0,,2020,3,12,Condo,1961,,,Off-street,,,,,0,0,1,0,8/12/2019 0:00,795000,3/12/2020,213,-0.006289308
"['377', 'Rector', 'Pl', 'APT', '3K']",NY 10280,754000,1,1,688,2020,3,10,Condo,1985,,Central,Covered,,,,Other interior features,1,0,1,1,6/6/2019 0:00,845000,3/10/2020,278,-0.107692308
"['200', 'Central', 'Park', '4I']",NY 10019,1300000,1,1,950,2020,3,6,Condo,1963,,Central,0 spaces,,,,Other interior features,0,0,1,0,9/3/2019 0:00,1349000,3/6/2020,185,-0.036323202
"['330', 'E', '38th', 'St', 'APT', '37B']",NY 10016,1500000,1,2,971,2020,3,5,Condo,1989,,Central,"Garage - Attached, On-street",,,,Other interior features,1,0,1,1,8/11/2019 0:00,1575000,3/5/2020,207,-0.047619048
"['205', 'E', '63rd', 'St', 'APT', '17E']",NY 10065,585000,1,1,,2020,3,4,Condo,1961,,Central,Covered,,,,Appliances included: Dishwasher,1,0,1,0,1/17/2019 0:00,675000,3/4/2020,412,-0.133333333
"['72', 'Reade', 'St', 'FL', '2']",NY 10007,5530000,4,5,3953,2020,2,28,Condo,1915,,,Covered,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,6/11/2018 0:00,7925000,2/28/2020,627,-0.302208202
"['417', 'Park', 'Ave', 'APT', '11W']",NY 10022,8400000,3,5,3110,2020,2,28,Condo,1916,,Central,0 spaces,,,,Other interior features,1,0,1,0,5/26/2017 0:00,7500000,2/28/2020,1008,0.12
"['60', 'E', '55th', 'St', 'APT', '19B']",NY 10022,630000,1,1,528,2020,2,27,Condo,2006,,,On-street,,,"Flooring: Tile, Hardwood",Other interior features,1,0,1,0,9/3/2019 0:00,720000,2/27/2020,177,-0.125
"['250', 'Manhattan', 'Ave', 'APT', '3A']",NY 10026,950000,2,2,843,2020,2,27,Condo,1920,,,0 spaces,,,,"Appliances included: Dishwasher, Freezer, Range / Oven, Refrigerator",0,0,1,0,11/9/2019 0:00,950000,2/27/2020,110,0
